,Unnamed: 0,City,Client Group,Contact Method,Country,Date Closed,Language,Month,Organization,Postal/Zip Code,Prog. Area,Program,Prov/State,Reason for Enquiry,Resolution,SRT #,SRT Status,Sector,Topic
21275,2291,,Individual,Email,Canada,2019-02-05,English,Feb,"Innovation, Science and Economic Development Canada",,Telephone Directory,The Department,Ontario,Requires Contact Information,Completed,499397,Closed,,Other
21277,2293,,Company,Email,Unknown,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,,Requires Expert Information,Referral (Internal),499418,Closed,Innovation Canada,Innovation
21280,2296,,Company,Email,Canada,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Ontario,"Requires Information on a Procedure
Requires Expert Information",Referral (Internal),499372,Closed,Innovation Canada,Innovation
21282,2298,,Federal Government,Email,Canada,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Small Business Research and Policy,Ontario,"Problem (Non-Technical)
Requires Expert Information",Referral (Internal),499386,Closed,Small Business Tourism and Marketplace Services,Other
21284,2300,,Individual,Email,Canada,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",,Password,IC Registration,,Problem (Non-Technical),Completed,499405,Closed,Communications and Marketing Branch,Other
21286,2302,,Company,Email,Unknown,2019-02-04,English,Feb,Not Applicable,,,Not Applicable,,Other,Completed,499402,Closed,,Other
21292,2308,"14603 Airport Rd,",Company,Email,Canada,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",L7C2X8,,Innovative Solutions Canada,Ontario,Requires Expert Information,Referral (Internal),499213,Closed,Innovation Canada,Innovation
21296,2312,Sherbrooke,Individual,Email,Canada,2019-02-01,English,Feb,"Innovation, Science and Economic Development Canada",J1H1M4,Stream 4,Strategic Innovation Fund,Québec,Requires Expert Information,Referral (Internal),497457,Closed,Innovation Canada,Innovation
21301,2317,,Individual,Email,Unknown,2019-02-01,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),,Obtain Official Document,Partial Resolution + External,499212,Closed,Small Business Tourism and Marketplace Services,Corporations
21310,2326,Lower Woods Harbour,Company,Email,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",B0W2E0,,Innovative Solutions Canada,Nova Scotia,"Problem (Non-Technical)
Requires Expert Information",Referral (Internal),499136,Closed,Innovation Canada,Innovation
21313,2329,,Company,Email,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Alberta,Requires Information on a Procedure,Referral (Internal),498567,Closed,Innovation Canada,Innovation
21316,2332,,Company,Email,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Québec,Requires Information on a Procedure,Referral (Internal),493796,Closed,Innovation Canada,Innovation
21334,2350,,Individual,Email,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada
Provincial Government",,NUANS,Corporations Canada (CC),British Columbia,Requires Information on a Procedure,Completed,492619,Closed,Small Business Tourism and Marketplace Services,Corporations
21339,2355,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),British Columbia,Requires Expert Information,Referral (Internal),498807,Closed,Small Business Tourism and Marketplace Services,Corporations
21341,2357,,Federal Government,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,Requires Expert Information,Referral (Internal),499005,Closed,Innovation Canada,Innovation
21345,2361,,Individual,Email,Canada,2019-01-30,French,Jan,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,Québec,Requires Expert Information,Referral (Internal),494077,Closed,Innovation Canada,Innovation
21346,2362,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,,Requires Expert Information,Referral (Internal),495472,Closed,Innovation Canada,Innovation
21347,2363,,Not-for-profit Corporations,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,NFP - Incorporation,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),495550,Closed,Small Business Tourism and Marketplace Services,Corporations
21349,2365,,Innovation Science and Economic Development Canada,Email,Canada,2019-01-30,English,Jan,Federal Government,,,Other,,Requires Expert Information,Referral (External),498828,Closed,,Other
21355,2371,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,"Change of Registered Office Address
Changes Regarding Directors",Corporations Canada (CC),Québec,"Problem (Non-Technical)
Requires Expert Information",Referral (Internal),498930,Closed,Small Business Tourism and Marketplace Services,Corporations
21356,2372,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,"Requires Information on a Procedure
Requires Expert Information",Referral (Internal),498247,Closed,Innovation Canada,Innovation
21357,2373,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,Ontario,Requires Expert Information,Referral (Internal),495153,Closed,Innovation Canada,Innovation
21358,2374,Saskatoon,Individual,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",S7N3H5,Stream 4,Strategic Innovation Fund,Saskatchewan,Requires Expert Information,Referral (Internal),495959,Closed,Innovation Canada,Innovation
21361,2377,,Professional Services,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Site Info,FightSpam,,Requires Expert Information,Referral (Internal),496595,Closed,Strategic Policy Sector,Innovation
21362,2378,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Technologies,Industry by Sector,Alberta,Requires Expert Information,Referral (Internal),496688,Closed,Industry Sector,Innovation
21364,2380,Concord,Unknown,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",L4K1H3,Not Applicable,Strategic Innovation Fund,Ontario,"Requires Expert Information
Status Update",Referral (Internal),498614,Closed,Innovation Canada,Innovation
21367,2383,,Individual,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,Requires Expert Information,Referral (Internal),498601,Closed,Innovation Canada,Innovation
21368,2384,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Other,Completed,486759,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
21369,2385,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,Requires Expert Information,Referral (Internal),486829,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
21371,2387,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Nova Scotia,Requires Expert Information,Referral (Internal),488730,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
21373,2389,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Alberta,Requires Information on a Procedure,Completed,495176,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
21376,2392,,Company,Email,Australia,2019-01-29,English,Jan,Federal Government,2008,,Global Affairs Canada,,Requires Navigational Aid,Completed,498788,Closed,,Innovation
21380,2396,,Professional Services,Email,Canada,2019-01-29,English,Jan,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,Alberta,Requires Expert Information,Referral (Internal),498778,Closed,Innovation Canada,Innovation
21390,2406,,Professional Services,Email,Canada,2019-01-29,English,Jan,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Alberta,Requires Expert Information,Referral (Internal),498613,Closed,Innovation Canada,Innovation
21393,2409,,Company,Email,Canada,2019-01-29,French,Jan,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Québec,Requires Information on a Procedure,Referral (Internal),498716,Closed,Small Business Tourism and Marketplace Services,Corporations
21399,2415,Calgary,Unknown,Email,Canada,2019-01-28,English,Jan,"Innovation, Science and Economic Development Canada",T2P0P7,Not Applicable,Strategic Innovation Fund,Alberta,Requires Expert Information,Referral (Internal),498608,Closed,Innovation Canada,Innovation
21403,2419,,Company,Email,Canada,2019-01-28,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,British Columbia,Requires Information on a Procedure,Completed,498609,Closed,Innovation Canada,Innovation
21405,2421,,Company,Email,Unknown,2019-01-28,English,Jan,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),,"Obtain Official Document
Requires Information on a Procedure
Status Update","Completed
Referral (Internal)",498366,Closed,Small Business Tourism and Marketplace Services,Corporations
21407,2423,,Individual,Email,Canada,2019-01-28,English,Jan,Federal Government,,Manufacturing Industries,Canada Revenue Agency (CRA),British Columbia,"Problem (Non-Technical)
Requires Expert Information",Referral (External),498365,Closed,,Other
21410,2426,North Vancouver,Company,Email,Canada,2019-01-28,English,Jan,"Innovation, Science and Economic Development Canada",V7L2L5,,Innovative Solutions Canada,British Columbia,Requires Expert Information,Referral (Internal),497459,Closed,Innovation Canada,Innovation
21411,2427,,Individual,Email,Unknown,2019-01-28,English,Jan,"Innovation, Science and Economic Development Canada",,Password,IC Registration,,Problem (Non-Technical),Completed,498572,Closed,Communications and Marketing Branch,Other
21412,2428,,Company,Email,Canada,2019-01-28,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,,Requires Expert Information,Referral (Internal),497303,Closed,Innovation Canada,Innovation
21419,2435,,Company,Email,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Password,IC Registration,British Columbia,Problem (Non-Technical),Completed,498106,Closed,Communications and Marketing Branch,Other
21424,2440,,Unknown,Email,Unknown,2019-01-25,French,Jan,"Innovation, Science and Economic Development Canada",,Change of Registered Office Address,Corporations Canada (CC),,Requires Contact Information,Referral (Internal),498457,Closed,Small Business Tourism and Marketplace Services,Corporations
21426,2442,,Provincial Government,Email,Canada,2019-01-25,English,Jan,Federal Government,,,Public Service Commission of Canada (PSC),British Columbia,Requires Expert Information,Referral (External),498373,Closed,,Other
22677,3693,,Individual,Email,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Misleading Advertisement,Competition Bureau Canada,Ontario,Requires Information on a Procedure,Partial Resolution + Internal,502393,Closed,Competition Bureau Canada,Other
22682,3698,,Company,Email,Germany,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Certification and Engineering Bureau,Spectrum Management and Telecommunications,,Requires Expert Information,Referral (Internal),502102,Closed,Spectrum Information Technologies and Telecommunications,Corporations
22689,3705,,Company,Email,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",,Requires Expert Information,Referral (Internal),502324,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
22692,3708,Ottawa,Federal Government,Email,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",K1G4A8,,Innovative Solutions Canada,Ontario,Requires Expert Information,Referral (Internal),501748,Closed,Innovation Canada,Innovation
22695,3711,,Unknown,Email,Unknown,2019-02-25,French,Feb,Federal Government,,,Health Canada (HC),,Requires Expert Information,Referral (External),502190,Closed,,Other
22699,3715,,Federal Government,Email,Canada,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Advertising / Communication,Communications and Marketing Branch (CMB),Ontario,Requires Expert Information,Referral (Internal),501918,Closed,Office of the Deputy Minister,Other
22705,3721,,Individual,Email,Unknown,2019-02-22,English,Feb,"Innovation, Science and Economic Development Canada",,Grants and Finances,"Canada Business Network
Innovation Canada Platform",,Requires Information on a Procedure,Completed,502000,Closed,Innovation Canada,Innovation
22709,3725,,Company,Email,Canada,2019-02-21,English,Feb,"Innovation, Science and Economic Development Canada",,Stream 3,Strategic Innovation Fund,Ontario,Requires Expert Information,Referral (Internal),501942,Closed,Innovation Canada,Innovation
22711,3727,,Company,Email,Canada,2019-02-21,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Competition Bureau Canada,Ontario,Requires Expert Information,Referral (Internal),501821,Closed,Competition Bureau Canada,Innovation
22712,3728,Ottawa,Federal Government,Email,Canada,2019-02-21,English,Feb,"Innovation, Science and Economic Development Canada",K1G4A8,,Innovative Solutions Canada,Ontario,Requires Expert Information,Referral (Internal),501820,Closed,Innovation Canada,Innovation
22716,3732,Saint-Hyacinthe,Not-for-profit Corporations,Email,Canada,2019-02-21,English,Feb,"Innovation, Science and Economic Development Canada",J2S8E3,Stream 4,Strategic Innovation Fund,Québec,Requires Expert Information,Referral (Internal),501813,Closed,Innovation Canada,Innovation
22720,3736,,Company,Email,Canada,2019-02-21,English,Feb,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),501206,Closed,Small Business Tourism and Marketplace Services,Corporations
22724,3740,,Company,Email,Tunisia,2019-02-20,French,Feb,Federal Government,,,Global Affairs Canada,,Requires Expert Information,Referral (Internal),501509,Closed,,Other
22729,3745,,Company,Email,Canada,2019-02-19,English,Feb,Provincial Government,,,Ontario,Ontario,Requires Information on a Procedure,Referral (External),501545,Closed,,Corporations
22733,3749,7913 Meadoehaven Blvd,Company,Email,United States,2019-02-19,English,Feb,"Innovation, Science and Economic Development Canada",43235,Crown Copyright Clearance,Communications and Marketing Branch (CMB),Ohio,Requires Expert Information,Partial Resolution + Internal,500762,Closed,Office of the Deputy Minister,Other
22736,3752,,Other,Email,Unknown,2019-02-18,English,Feb,Federal Government,,,"Immigration, Refugees and Citizenship Canada
Employment and Social Development Canada (ESDC)
Global Affairs Canada",,"Search for Employment
Requires Navigational Aid",Completed,501305,Closed,,Other
22737,3753,Ottawa,Company,Email,Canada,2019-02-18,English,Feb,"Innovation, Science and Economic Development Canada",K2S1K2,"NFP - Change of Registered Office Address
NFP - Changes Regarding Directors",Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),501309,Closed,Small Business Tourism and Marketplace Services,Corporations
22742,3758,,Individual,Email,Canada,2019-02-18,English,Feb,"Federal Government
Innovation, Science and Economic Development Canada",,,Public Services and Procurement Canada,,Requires Expert Information,"Partial Resolution + External
Partial Resolution + Internal",501324,Closed,,Other
22746,3762,,Individual,Email,India,2019-02-18,English,Feb,Federal Government,,,"Employment and Social Development Canada (ESDC)
Global Affairs Canada
Immigration, Refugees and Citizenship Canada",,"Requires Expert Information
Search for Employment",Referral (External),501319,Closed,,Other
22747,3763,,Individual,Email,Kenya,2019-02-18,English,Feb,Federal Government,,,"Employment and Social Development Canada (ESDC)
Global Affairs Canada
Immigration, Refugees and Citizenship Canada",,"Requires Information on a Procedure
Requires Navigational Aid",Partial Resolution + External,501207,Closed,,Other
22755,3771,,Individual,Email,Canada,2019-02-15,English,Feb,"Innovation, Science and Economic Development Canada",,,Other,Ontario,Requires Expert Information,Referral (Internal),501053,Closed,,Other
22759,3775,,Individual,Email,Canada,2019-02-15,English,Feb,"Federal Government
Innovation, Science and Economic Development Canada
Provincial Government",,,"Employment and Social Development Canada (ESDC)
Public Service Commission of Canada (PSC)
Saskatchewan",Saskatchewan,"Requires Information on a Procedure
Requires Navigational Aid",Completed,499823,Closed,,Other
22764,3780,Ottawa,Individual,Email,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",K1N5K3,,Other,Ontario,Request for Publication,Completed,500911,Closed,,Innovation
22765,3781,Victoria,Individual,Email,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",V8W9K1,ATIP Services,Office of the Corporate Secretary (OCS),British Columbia,"Requires Expert Information
Requires Information on a Procedure
Requires Navigational Aid",Completed,496094,Closed,Office of the Deputy Minister,Other
22767,3783,,Company,Email,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,British Columbia,"Requires Contact Information
Requires Expert Information",Partial Resolution + Internal,500865,Closed,Innovation Canada,Innovation
22769,3785,,Individual,Email,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,Other,The Department,Prince Edward Island,Requires Expert Information,Referral (Internal),498010,Closed,,Other
22770,3786,,Company,Email,Canada,2019-02-12,French,Feb,Federal Government,,,Canada Revenue Agency (CRA),,"Requires Information on a Procedure
Requires Expert Information",Partial Resolution + External,500401,Closed,,Corporations
22771,3787,,Company,Email,Canada,2019-02-12,French,Feb,"Innovation, Science and Economic Development Canada",,Other,"Competition Bureau Canada
Corporations Canada (CC)",,Requires Expert Information,Referral (Internal),500547,Closed,"Competition Bureau Canada
Small Business Tourism and Marketplace Services",Corporations
22772,3788,North Vancouver,Company,Email,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",V7L2L5,,Innovative Solutions Canada,British Columbia,"Requires Expert Information
Status Update",Referral (Internal),500195,Closed,Innovation Canada,Innovation
22775,3791,,Company,Email,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,Requires Information on a Procedure,Completed,500619,Closed,Small Business Tourism and Marketplace Services,Corporations
22777,3793,,Entrepreneur,Email,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,Starting a Business,"Canada Business Network
Innovation Advisors",,Requires Expert Information,Referral (Internal),500622,Closed,Innovation Canada,Innovation
22778,3794,,Unknown,Email,Unknown,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,,Other,,Requires Expert Information,Referral (Internal),500545,Closed,,Other
22782,3798,,Individual,Email,Syria,2019-02-08,English,Feb,Federal Government,,,"Immigration, Refugees and Citizenship Canada",,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + External,500358,Closed,,Other
22788,3804,,Company,Email,Canada,2019-02-07,French,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),500000,Closed,Small Business Tourism and Marketplace Services,Corporations
22789,3805,,Entrepreneur,Email,Canada,2019-02-07,English,Feb,"Federal Government
Innovation, Science and Economic Development Canada",,,"Other
Innovation Canada Platform
Innovative Solutions Canada",,"Requires Information on a Procedure
Requires Navigational Aid",Completed,499924,Closed,Innovation Canada,Innovation
22794,3810,,Individual,Email,United States,2019-02-06,English,Feb,Federal Government,,,"Immigration, Refugees and Citizenship Canada
Global Affairs Canada
Employment and Social Development Canada (ESDC)",,"Search for Employment
Status Update",Completed,499400,Closed,,Other
22795,3811,,Individual,Email,Canada,2019-02-06,English,Feb,Federal Government,,,Canada Revenue Agency (CRA),Ontario,Other,Completed,499805,Closed,,Other
22797,3813,,Company,Email,Canada,2019-02-06,English,Feb,"Innovation, Science and Economic Development Canada
Federal Government",,,"Innovative Solutions Canada
Fisheries and Oceans Canada (DFO)",British Columbia,Requires Expert Information,Referral (Internal),499724,Closed,"Innovation Canada
",Innovation
22798,3814,,Individual,Email,United States,2019-02-06,English,Feb,Federal Government,,,"Employment and Social Development Canada (ESDC)
Global Affairs Canada
Immigration, Refugees and Citizenship Canada",,"Search for Employment
Requires Information on a Procedure",Completed,494854,Closed,,Other
22800,3816,,Individual,Email,Ivory Coast,2019-02-06,French,Feb,Federal Government,,,"Employment and Social Development Canada (ESDC)
Global Affairs Canada
Immigration, Refugees and Citizenship Canada",,"Requires Expert Information
Search for Employment",Referral (External),499370,Closed,,Other
22805,3821,,Company,Email,Canada,2019-02-05,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,,"Problem (Non-Technical)
Requires Expert Information","Completed
TIP Submitted",499579,Closed,Innovation Canada,Innovation
22807,3823,,Company,Email,Canada,2019-02-05,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Competition Bureau Canada,Alberta,Requires Expert Information,Referral (Internal),499564,Closed,Competition Bureau Canada,Other
22815,3831,,Company,Email,Unknown,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",,GCKey,"Innovative Solutions Canada
Cyber Authentication",,"Requires Navigational Aid
Requires Information on a Procedure",Completed,499414,Closed,"Innovation Canada
",Innovation
22816,3832,,Unknown,Email,Unknown,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),,"Requires Expert Information
Requires Information on a Procedure
Requires Navigational Aid",Partial Resolution + Internal,499375,Closed,Small Business Tourism and Marketplace Services,Corporations
22821,3837,,Company,Email,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Alberta,Requires Expert Information,Referral (Internal),494456,Closed,Innovation Canada,Innovation
22823,3839,,Individual,Email,Turkey,2019-01-31,English,Jan,"Federal Government
Innovation, Science and Economic Development Canada",,,"Employment and Social Development Canada (ESDC)
Global Affairs Canada
Immigration, Refugees and Citizenship Canada",,"Requires Information on a Procedure
Requires Navigational Aid
Search for Employment",Completed,499066,Closed,,Other
22827,3843,,Federal Government,Email,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,Requires Information on a Procedure,Completed,498996,Closed,Innovation Canada,Innovation
22833,3849,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,British Columbia,"Requires Information on a Procedure
Requires Expert Information",Referral (Internal),497938,Closed,Innovation Canada,Innovation
22838,3854,,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,British Columbia,Requires Expert Information,Referral (Internal),498369,Closed,Innovation Canada,Innovation
22839,3855,Victoria,Company,Email,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",V8V1W9,File an Annual Return,Corporations Canada (CC),British Columbia,Requires Expert Information,Referral (Internal),498249,Closed,Small Business Tourism and Marketplace Services,Corporations
22847,3863,Fort Mcmurray,Company,Email,Canada,2019-01-29,French,Jan,"Innovation, Science and Economic Development Canada",T9H5G2,Obtain Corporation Documents,Corporations Canada (CC),Alberta,"Obtain Official Document
Requires Expert Information
Status Update",Referral (Internal),498798,Closed,Small Business Tourism and Marketplace Services,Corporations
22848,3864,,Entrepreneur,Email,Unknown,2019-01-29,English,Jan,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),,Requires Expert Information,Referral (Internal),498786,Closed,Small Business Tourism and Marketplace Services,Corporations
22852,3868,,Company,Email,Canada,2019-01-28,French,Jan,"Innovation, Science and Economic Development Canada
Federal Government",,"Incorporate a Business
Business Number","Corporations Canada (CC)
Canada Revenue Agency (CRA)",,Requires Expert Information,"Referral (External)
Referral (Internal)",498617,Closed,"Small Business Tourism and Marketplace Services
",Corporations
22855,3871,,Company,Email,Canada,2019-01-28,English,Jan,"Innovation, Science and Economic Development Canada",,Stream 1,Strategic Innovation Fund,British Columbia,Requires Expert Information,Referral (Internal),498144,Closed,Innovation Canada,Innovation
22859,3875,,Individual,Email,Unknown,2019-01-28,French,Jan,Federal Government,,,"Immigration, Refugees and Citizenship Canada",,"Requires Expert Information
Requires Information on a Procedure
Requires Navigational Aid",Referral (External),498376,Closed,,Other
22861,3877,,Consumer,Email,Canada,2019-01-28,English,Jan,Federal Government,,,Canadian Anti-Fraud Centre (CAFC),Ontario,Requires Expert Information,Referral (External),498551,Closed,,Other
23036,4052,,Company,Email,Canada,2019-02-15,English,Feb,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Ontario,Requires Expert Information,Referral (Internal),501131,Closed,Innovation Canada,Other
23037,4053,Toronto,Company,Email,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",M1T3V4,Other,Corporations Canada (CC),Ontario,Request for Publication,Completed,499412,Closed,Small Business Tourism and Marketplace Services,Corporations
23038,4054,Toronto,Company,Email,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",M1T3V4,Other,Corporations Canada (CC),Ontario,Request for Publication,Completed,499413,Closed,Small Business Tourism and Marketplace Services,Corporations
23041,4057,,Other Government,Email,Canada,2019-02-04,French,Feb,"Enterprises
Federal Government",,,"Private Enterprise
Canadian Heritage (CH)
Global Affairs Canada",Ontario,Requires Expert Information,Referral (External),499531,Closed,,Other
23043,4059,,Company,Email,Canada,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,,Requires Expert Information,Referral (Internal),498987,Closed,Innovation Canada,Innovation
23044,4060,,Company,Email,Canada,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,,Requires Expert Information,Referral (Internal),498987,Closed,Innovation Canada,Innovation
23045,4061,,Company,Email,Canada,2019-02-04,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,,Requires Expert Information,Referral (Internal),498987,Closed,Innovation Canada,Innovation
23046,4062,,Individual,Email,Unknown,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),,Requires Information on a Procedure,Completed,498591,Closed,Small Business Tourism and Marketplace Services,Corporations
23070,20,,Innovation Science and Economic Development Canada,Web Chat,Canada,2019-02-06,English,Feb,Not Applicable,,,Not Applicable,,Other,Completed,500045,Closed,,Other
23333,283,,Educational Institution,Web Chat,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,,Other,Québec,"Hang Up
Requires Information on a Procedure",Completed,502286,Closed,,Other
23335,285,,Individual,Web Chat,Unknown,2019-02-22,English,Feb,Federal Government,,,"Immigration, Refugees and Citizenship Canada",,"Requires Expert Information
Requires Information on a Procedure",Completed,502062,Closed,,Other
23336,286,,Individual,Web Chat,Unknown,2019-02-21,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovation Canada Platform,,Requires Information on a Procedure,Completed,501985,Closed,Innovation Canada,Innovation
23338,288,,Individual,Web Chat,Unknown,2019-02-20,English,Feb,Enterprises,,,Private Enterprise,,"Requires Contact Information
Hang Up",Completed,501723,Closed,,Other
23346,296,,Individual,Web Chat,Pakistan,2019-02-13,English,Feb,Not Applicable,,,Not Applicable,,Unknown,Completed,500871,Closed,,Other
23353,303,,Company,Web Chat,Canada,2019-02-12,English,Feb,"Provincial Government
Federal Government",,,"Ontario
Canada Revenue Agency (CRA)",Ontario,Status Update,Referral (External),500795,Closed,,Corporations
23363,313,,Individual,Web Chat,Unknown,2019-02-04,English,Feb,Not Applicable,,,Not Applicable,,Unknown,Completed,499468,Closed,,Other
23365,315,,Company,Web Chat,Canada,2019-02-01,English,Feb,Provincial Government,,,Ontario,Ontario,Requires Expert Information,Referral (External),499341,Closed,,Corporations
23371,321,,Federal Government,Web Chat,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,"User Name
Password",IC Registration,Ontario,Problem (Non-Technical),Completed,497944,Closed,Communications and Marketing Branch,Other
23399,349,,Not-for-profit Corporations,Web Chat,Unknown,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,NFP - Changes Regarding Directors,Corporations Canada (CC),,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,502821,Closed,Small Business Tourism and Marketplace Services,Corporations
24492,1442,,Company,Web Chat,Canada,2019-02-20,French,Feb,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Québec,Requires Expert Information,Referral (External),501718,Closed,Small Business Tourism and Marketplace Services,Corporations
24519,1469,,Company,Web Chat,Unknown,2019-03-01,English,Mar,"Innovation, Science and Economic Development Canada",,,Innovation Canada Platform,,Requires Expert Information,Referral (Internal),503452,Closed,Innovation Canada,Innovation
